2023-12-01 00:11:32.103 | INFO     | database.mysqldb:create_pool:30 - Pool was created successfully!
2023-12-01 00:11:32.119 | INFO     | scheduler.direction_update:update:31 - Старт проверки цен
2023-12-01 00:11:32.562 | INFO     | avia_bot.service:start_bot:36 - The bot is running!
2023-12-01 00:11:39.853 | INFO     | scheduler.direction_update:checking_update:191 - Незначительное уменьшение цены билета 2 - IST : 0.1545993300695697 <= 10 and 02.12.2023 == 02.12.2023
2023-12-01 00:11:41.447 | INFO     | scheduler.direction_update:checking_update:225 - Незначительное увеличение цены билета 2 - AYT : 4398.0 > 4376.0 and 0.5002273760800363 <= 10 and 14.12.2023 == 14.12.2023
2023-12-01 00:11:45.603 | INFO     | scheduler.direction_update:checking_update:191 - Незначительное уменьшение цены билета 3 - AER : 0.10952902519167579 <= 10 and 05.12.2023 == 05.12.2023
2023-12-01 00:11:48.516 | INFO     | scheduler.direction_update:checking_update:122 - Превышение максимальной цена, обновление БД 3 - MRV : 4563.0 >= 4000
2023-12-01 00:11:55.145 | INFO     | scheduler.direction_update:checking_update:225 - Незначительное увеличение цены билета 6 - ROM : 10357.0 > 9947.0 and 3.9586752920729937 <= 10 and 04.12.2023 == 04.12.2023
2023-12-01 00:11:57.944 | INFO     | scheduler.direction_update:checking_update:158 - Критическое уменьшение цены билета 7 - AUH : 5020.0 < 15161.0 and 66.88872765648703 >= 20
2023-12-01 00:12:30.995 | INFO     | database.mysqldb:create_pool:30 - Pool was created successfully!
2023-12-01 00:12:31.035 | INFO     | scheduler.direction_update:update:31 - Старт проверки цен
2023-12-01 00:12:31.294 | INFO     | avia_bot.service:start_bot:36 - The bot is running!
2023-12-01 00:12:33.588 | INFO     | scheduler.direction_update:checking_update:122 - Превышение максимальной цена, обновление БД 1 - LCA : 12258.0 >= 9812
2023-12-01 00:12:37.634 | INFO     | scheduler.direction_update:checking_update:255 - Значительное увеличение цены билета 2 - IZM : 8636.0 > 7219.0 and 16.40805928670681 >= 10
2023-12-01 00:12:51.996 | INFO     | scheduler.direction_update:checking_update:122 - Превышение максимальной цена, обновление БД 6 - VCE : 14142.0 >= 10000
2023-12-01 00:12:56.963 | ERROR    | avia_api.adapter:get_ticket:49 - Нет билетов на MOW - DXB : {'data': [], 'currency': 'rub', 'success': True}
2023-12-01 00:12:58.525 | INFO     | scheduler.direction_update:checking_update:191 - Незначительное уменьшение цены билета 7 - SHJ : 0.8006569492917266 <= 10 and 03.12.2023 == 03.12.2023
